x	y	z	wkt_geom
3	2	4	"Polygon((36 -18,108 -18,108 18,36 18,36 -18))"
4	2	4	"Polygon((108 -18,180 -18,180 18,108 18,108 -18))"
0	3	4	"Polygon((-180 -54,-108 -54,-108 -18,-180 -18,-180 -54))"
1	3	4	"Polygon((-108 -54,-36 -54,-36 -18,-108 -18,-108 -54))"
2	3	4	"Polygon((-36 -54,36 -54,36 -18,-36 -18,-36 -54))"
3	3	4	"Polygon((36 -54,108 -54,108 -18,36 -18,36 -54))"
4	3	4	"Polygon((108 -54,180 -54,180 -18,108 -18,108 -54))"
0	4	4	"Polygon((-180 -90,-108 -90,-108 -54,-180 -54,-180 -90))"
1	4	4	"Polygon((-108 -90,-36 -90,-36 -54,-108 -54,-108 -90))"
2	4	4	"Polygon((-36 -90,36 -90,36 -54,-36 -54,-36 -90))"
3	4	4	"Polygon((36 -90,108 -90,108 -54,36 -54,36 -90))"
4	4	4	"Polygon((108 -90,180 -90,180 -54,108 -54,108 -90))"
0	0	5	"Polygon((-180 60,-120 60,-120 90,-180 90,-180 60))"
1	0	5	"Polygon((-120 60,-60 60,-60 90,-120 90,-120 60))"
2	0	5	"Polygon((-60 60,0 60,0 90,-60 90,-60 60))"
3	0	5	"Polygon((0 60,60 60,60 90,0 90,0 60))"
4	0	5	"Polygon((60 60,120 60,120 90,60 90,60 60))"
5	0	5	"Polygon((120 60,180 60,180 90,120 90,120 60))"
0	1	5	"Polygon((-180 30,-120 30,-120 60,-180 60,-180 30))"
1	1	5	"Polygon((-120 30,-60 30,-60 60,-120 60,-120 30))"
2	1	5	"Polygon((-60 30,0 30,0 60,-60 60,-60 30))"
3	1	5	"Polygon((0 30,60 30,60 60,0 60,0 30))"
4	1	5	"Polygon((60 30,120 30,120 60,60 60,60 30))"
5	1	5	"Polygon((120 30,180 30,180 60,120 60,120 30))"
0	2	5	"Polygon((-180 0,-120 0,-120 30,-180 30,-180 0))"
1	2	5	"Polygon((-120 0,-60 0,-60 30,-120 30,-120 0))"
2	2	5	"Polygon((-60 0,0 0,0 30,-60 30,-60 0))"
3	2	5	"Polygon((0 0,60 0,60 30,0 30,0 0))"
4	2	5	"Polygon((60 0,120 0,120 30,60 30,60 0))"
5	2	5	"Polygon((120 0,180 0,180 30,120 30,120 0))"
0	3	5	"Polygon((-180 -30,-120 -30,-120 0,-180 0,-180 -30))"
1	3	5	"Polygon((-120 -30,-60 -30,-60 0,-120 0,-120 -30))"
2	3	5	"Polygon((-60 -30,0 -30,0 0,-60 0,-60 -30))"
3	3	5	"Polygon((0 -30,60 -30,60 0,0 0,0 -30))"
4	3	5	"Polygon((60 -30,120 -30,120 0,60 0,60 -30))"
5	3	5	"Polygon((120 -30,180 -30,180 0,120 0,120 -30))"
0	4	5	"Polygon((-180 -60,-120 -60,-120 -30,-180 -30,-180 -60))"
1	4	5	"Polygon((-120 -60,-60 -60,-60 -30,-120 -30,-120 -60))"
2	4	5	"Polygon((-60 -60,0 -60,0 -30,-60 -30,-60 -60))"
3	4	5	"Polygon((0 -60,60 -60,60 -30,0 -30,0 -60))"
4	4	5	"Polygon((60 -60,120 -60,120 -30,60 -30,60 -60))"
5	4	5	"Polygon((120 -60,180 -60,180 -30,120 -30,120 -60))"
0	5	5	"Polygon((-180 -90,-120 -90,-120 -60,-180 -60,-180 -90))"
1	5	5	"Polygon((-120 -90,-60 -90,-60 -60,-120 -60,-120 -90))"
2	5	5	"Polygon((-60 -90,0 -90,0 -60,-60 -60,-60 -90))"
3	5	5	"Polygon((0 -90,60 -90,60 -60,0 -60,0 -90))"
4	5	5	"Polygon((60 -90,120 -90,120 -60,60 -60,60 -90))"
5	5	5	"Polygon((120 -90,180 -90,180 -60,120 -60,120 -90))"
0	0	6	"Polygon((-180 64.2857142857143,-128.571428571429 64.2857142857143,-128.571428571429 90,-180 90,-180 64.2857142857143))"
1	0	6	"Polygon((-128.571428571429 64.2857142857143,-77.1428571428571 64.2857142857143,-77.1428571428571 90,-128.571428571429 90,-128.571428571429 64.2857142857143))"
2	0	6	"Polygon((-77.1428571428571 64.2857142857143,-25.7142857142857 64.2857142857143,-25.7142857142857 90,-77.1428571428571 90,-77.1428571428571 64.2857142857143))"
3	0	6	"Polygon((-25.7142857142857 64.2857142857143,25.7142857142857 64.2857142857143,25.7142857142857 90,-25.7142857142857 90,-25.7142857142857 64.2857142857143))"
4	0	6	"Polygon((25.7142857142857 64.2857142857143,77.1428571428572 64.2857142857143,77.1428571428572 90,25.7142857142857 90,25.7142857142857 64.2857142857143))"
5	0	6	"Polygon((77.1428571428572 64.2857142857143,128.571428571429 64.2857142857143,128.571428571429 90,77.1428571428572 90,77.1428571428572 64.2857142857143))"
6	0	6	"Polygon((128.571428571429 64.2857142857143,180 64.2857142857143,180 90,128.571428571429 90,128.571428571429 64.2857142857143))"
0	1	6	"Polygon((-180 38.5714285714286,-128.571428571429 38.5714285714286,-128.571428571429 64.2857142857143,-180 64.2857142857143,-180 38.5714285714286))"
1	1	6	"Polygon((-128.571428571429 38.5714285714286,-77.1428571428571 38.5714285714286,-77.1428571428571 64.2857142857143,-128.571428571429 64.2857142857143,-128.571428571429 38.5714285714286))"
2	1	6	"Polygon((-77.1428571428571 38.5714285714286,-25.7142857142857 38.5714285714286,-25.7142857142857 64.2857142857143,-77.1428571428571 64.2857142857143,-77.1428571428571 38.5714285714286))"
3	1	6	"Polygon((-25.7142857142857 38.5714285714286,25.7142857142857 38.5714285714286,25.7142857142857 64.2857142857143,-25.7142857142857 64.2857142857143,-25.7142857142857 38.5714285714286))"
4	1	6	"Polygon((25.7142857142857 38.5714285714286,77.1428571428572 38.5714285714286,77.1428571428572 64.2857142857143,25.7142857142857 64.2857142857143,25.7142857142857 38.5714285714286))"
5	1	6	"Polygon((77.1428571428572 38.5714285714286,128.571428571429 38.5714285714286,128.571428571429 64.2857142857143,77.1428571428572 64.2857142857143,77.1428571428572 38.5714285714286))"
6	1	6	"Polygon((128.571428571429 38.5714285714286,180 38.5714285714286,180 64.2857142857143,128.571428571429 64.2857142857143,128.571428571429 38.5714285714286))"
0	2	6	"Polygon((-180 12.8571428571429,-128.571428571429 12.8571428571429,-128.571428571429 38.5714285714286,-180 38.5714285714286,-180 12.8571428571429))"
1	2	6	"Polygon((-128.571428571429 12.8571428571429,-77.1428571428571 12.8571428571429,-77.1428571428571 38.5714285714286,-128.571428571429 38.5714285714286,-128.571428571429 12.8571428571429))"
2	2	6	"Polygon((-77.1428571428571 12.8571428571429,-25.7142857142857 12.8571428571429,-25.7142857142857 38.5714285714286,-77.1428571428571 38.5714285714286,-77.1428571428571 12.8571428571429))"
3	2	6	"Polygon((-25.7142857142857 12.8571428571429,25.7142857142857 12.8571428571429,25.7142857142857 38.5714285714286,-25.7142857142857 38.5714285714286,-25.7142857142857 12.8571428571429))"
4	2	6	"Polygon((25.7142857142857 12.8571428571429,77.1428571428572 12.8571428571429,77.1428571428572 38.5714285714286,25.7142857142857 38.5714285714286,25.7142857142857 12.8571428571429))"
5	2	6	"Polygon((77.1428571428572 12.8571428571429,128.571428571429 12.8571428571429,128.571428571429 38.5714285714286,77.1428571428572 38.5714285714286,77.1428571428572 12.8571428571429))"
6	2	6	"Polygon((128.571428571429 12.8571428571429,180 12.8571428571429,180 38.5714285714286,128.571428571429 38.5714285714286,128.571428571429 12.8571428571429))"
0	3	6	"Polygon((-180 -12.8571428571429,-128.571428571429 -12.8571428571429,-128.571428571429 12.8571428571429,-180 12.8571428571429,-180 -12.8571428571429))"
1	3	6	"Polygon((-128.571428571429 -12.8571428571429,-77.1428571428571 -12.8571428571429,-77.1428571428571 12.8571428571429,-128.571428571429 12.8571428571429,-128.571428571429 -12.8571428571429))"
2	3	6	"Polygon((-77.1428571428571 -12.8571428571429,-25.7142857142857 -12.8571428571429,-25.7142857142857 12.8571428571429,-77.1428571428571 12.8571428571429,-77.1428571428571 -12.8571428571429))"
3	3	6	"Polygon((-25.7142857142857 -12.8571428571429,25.7142857142857 -12.8571428571429,25.7142857142857 12.8571428571429,-25.7142857142857 12.8571428571429,-25.7142857142857 -12.8571428571429))"
4	3	6	"Polygon((25.7142857142857 -12.8571428571429,77.1428571428572 -12.8571428571429,77.1428571428572 12.8571428571429,25.7142857142857 12.8571428571429,25.7142857142857 -12.8571428571429))"
5	3	6	"Polygon((77.1428571428572 -12.8571428571429,128.571428571429 -12.8571428571429,128.571428571429 12.8571428571429,77.1428571428572 12.8571428571429,77.1428571428572 -12.8571428571429))"
6	3	6	"Polygon((128.571428571429 -12.8571428571429,180 -12.8571428571429,180 12.8571428571429,128.571428571429 12.8571428571429,128.571428571429 -12.8571428571429))"
0	4	6	"Polygon((-180 -38.5714285714286,-128.571428571429 -38.5714285714286,-128.571428571429 -12.8571428571429,-180 -12.8571428571429,-180 -38.5714285714286))"
1	4	6	"Polygon((-128.571428571429 -38.5714285714286,-77.1428571428571 -38.5714285714286,-77.1428571428571 -12.8571428571429,-128.571428571429 -12.8571428571429,-128.571428571429 -38.5714285714286))"
2	4	6	"Polygon((-77.1428571428571 -38.5714285714286,-25.7142857142857 -38.5714285714286,-25.7142857142857 -12.8571428571429,-77.1428571428571 -12.8571428571429,-77.1428571428571 -38.5714285714286))"
3	4	6	"Polygon((-25.7142857142857 -38.5714285714286,25.7142857142857 -38.5714285714286,25.7142857142857 -12.8571428571429,-25.7142857142857 -12.8571428571429,-25.7142857142857 -38.5714285714286))"
4	4	6	"Polygon((25.7142857142857 -38.5714285714286,77.1428571428572 -38.5714285714286,77.1428571428572 -12.8571428571429,25.7142857142857 -12.8571428571429,25.7142857142857 -38.5714285714286))"
5	4	6	"Polygon((77.1428571428572 -38.5714285714286,128.571428571429 -38.5714285714286,128.571428571429 -12.8571428571429,77.1428571428572 -12.8571428571429,77.1428571428572 -38.5714285714286))"
6	4	6	"Polygon((128.571428571429 -38.5714285714286,180 -38.5714285714286,180 -12.8571428571429,128.571428571429 -12.8571428571429,128.571428571429 -38.5714285714286))"
0	5	6	"Polygon((-180 -64.2857142857143,-128.571428571429 -64.2857142857143,-128.571428571429 -38.5714285714286,-180 -38.5714285714286,-180 -64.2857142857143))"
1	5	6	"Polygon((-128.571428571429 -64.2857142857143,-77.1428571428571 -64.2857142857143,-77.1428571428571 -38.5714285714286,-128.571428571429 -38.5714285714286,-128.571428571429 -64.2857142857143))"
2	5	6	"Polygon((-77.1428571428571 -64.2857142857143,-25.7142857142857 -64.2857142857143,-25.7142857142857 -38.5714285714286,-77.1428571428571 -38.5714285714286,-77.1428571428571 -64.2857142857143))"
3	5	6	"Polygon((-25.7142857142857 -64.2857142857143,25.7142857142857 -64.2857142857143,25.7142857142857 -38.5714285714286,-25.7142857142857 -38.5714285714286,-25.7142857142857 -64.2857142857143))"
4	5	6	"Polygon((25.7142857142857 -64.2857142857143,77.1428571428572 -64.2857142857143,77.1428571428572 -38.5714285714286,25.7142857142857 -38.5714285714286,25.7142857142857 -64.2857142857143))"
5	5	6	"Polygon((77.1428571428572 -64.2857142857143,128.571428571429 -64.2857142857143,128.571428571429 -38.5714285714286,77.1428571428572 -38.5714285714286,77.1428571428572 -64.2857142857143))"
6	5	6	"Polygon((128.571428571429 -64.2857142857143,180 -64.2857142857143,180 -38.5714285714286,128.571428571429 -38.5714285714286,128.571428571429 -64.2857142857143))"
0	6	6	"Polygon((-180 -90,-128.571428571429 -90,-128.571428571429 -64.2857142857143,-180 -64.2857142857143,-180 -90))"
1	6	6	"Polygon((-128.571428571429 -90,-77.1428571428571 -90,-77.1428571428571 -64.2857142857143,-128.571428571429 -64.2857142857143,-128.571428571429 -90))"
2	6	6	"Polygon((-77.1428571428571 -90,-25.7142857142857 -90,-25.7142857142857 -64.2857142857143,-77.1428571428571 -64.2857142857143,-77.1428571428571 -90))"
3	6	6	"Polygon((-25.7142857142857 -90,25.7142857142857 -90,25.7142857142857 -64.2857142857143,-25.7142857142857 -64.2857142857143,-25.7142857142857 -90))"
4	6	6	"Polygon((25.7142857142857 -90,77.1428571428572 -90,77.1428571428572 -64.2857142857143,25.7142857142857 -64.2857142857143,25.7142857142857 -90))"
5	6	6	"Polygon((77.1428571428572 -90,128.571428571429 -90,128.571428571429 -64.2857142857143,77.1428571428572 -64.2857142857143,77.1428571428572 -90))"
6	6	6	"Polygon((128.571428571429 -90,180 -90,180 -64.2857142857143,128.571428571429 -64.2857142857143,128.571428571429 -90))"
0	0	7	"Polygon((-180 67.5,-135 67.5,-135 90,-180 90,-180 67.5))"
1	0	7	"Polygon((-135 67.5,-90 67.5,-90 90,-135 90,-135 67.5))"
2	0	7	"Polygon((-90 67.5,-45 67.5,-45 90,-90 90,-90 67.5))"
3	0	7	"Polygon((-45 67.5,0 67.5,0 90,-45 90,-45 67.5))"
4	0	7	"Polygon((0 67.5,45 67.5,45 90,0 90,0 67.5))"
5	0	7	"Polygon((45 67.5,90 67.5,90 90,45 90,45 67.5))"
6	0	7	"Polygon((90 67.5,135 67.5,135 90,90 90,90 67.5))"
7	0	7	"Polygon((135 67.5,180 67.5,180 90,135 90,135 67.5))"
0	1	7	"Polygon((-180 45,-135 45,-135 67.5,-180 67.5,-180 45))"
1	1	7	"Polygon((-135 45,-90 45,-90 67.5,-135 67.5,-135 45))"
2	1	7	"Polygon((-90 45,-45 45,-45 67.5,-90 67.5,-90 45))"
3	1	7	"Polygon((-45 45,0 45,0 67.5,-45 67.5,-45 45))"
4	1	7	"Polygon((0 45,45 45,45 67.5,0 67.5,0 45))"
5	1	7	"Polygon((45 45,90 45,90 67.5,45 67.5,45 45))"
6	1	7	"Polygon((90 45,135 45,135 67.5,90 67.5,90 45))"
7	1	7	"Polygon((135 45,180 45,180 67.5,135 67.5,135 45))"
0	2	7	"Polygon((-180 22.5,-135 22.5,-135 45,-180 45,-180 22.5))"
1	2	7	"Polygon((-135 22.5,-90 22.5,-90 45,-135 45,-135 22.5))"
2	2	7	"Polygon((-90 22.5,-45 22.5,-45 45,-90 45,-90 22.5))"
3	2	7	"Polygon((-45 22.5,0 22.5,0 45,-45 45,-45 22.5))"
4	2	7	"Polygon((0 22.5,45 22.5,45 45,0 45,0 22.5))"
5	2	7	"Polygon((45 22.5,90 22.5,90 45,45 45,45 22.5))"
6	2	7	"Polygon((90 22.5,135 22.5,135 45,90 45,90 22.5))"
7	2	7	"Polygon((135 22.5,180 22.5,180 45,135 45,135 22.5))"
0	3	7	"Polygon((-180 0,-135 0,-135 22.5,-180 22.5,-180 0))"
1	3	7	"Polygon((-135 0,-90 0,-90 22.5,-135 22.5,-135 0))"
2	3	7	"Polygon((-90 0,-45 0,-45 22.5,-90 22.5,-90 0))"
3	3	7	"Polygon((-45 0,0 0,0 22.5,-45 22.5,-45 0))"
4	3	7	"Polygon((0 0,45 0,45 22.5,0 22.5,0 0))"
5	3	7	"Polygon((45 0,90 0,90 22.5,45 22.5,45 0))"
6	3	7	"Polygon((90 0,135 0,135 22.5,90 22.5,90 0))"
7	3	7	"Polygon((135 0,180 0,180 22.5,135 22.5,135 0))"
0	4	7	"Polygon((-180 -22.5,-135 -22.5,-135 0,-180 0,-180 -22.5))"
1	4	7	"Polygon((-135 -22.5,-90 -22.5,-90 0,-135 0,-135 -22.5))"
2	4	7	"Polygon((-90 -22.5,-45 -22.5,-45 0,-90 0,-90 -22.5))"
3	4	7	"Polygon((-45 -22.5,0 -22.5,0 0,-45 0,-45 -22.5))"
4	4	7	"Polygon((0 -22.5,45 -22.5,45 0,0 0,0 -22.5))"
5	4	7	"Polygon((45 -22.5,90 -22.5,90 0,45 0,45 -22.5))"
6	4	7	"Polygon((90 -22.5,135 -22.5,135 0,90 0,90 -22.5))"
7	4	7	"Polygon((135 -22.5,180 -22.5,180 0,135 0,135 -22.5))"
0	5	7	"Polygon((-180 -45,-135 -45,-135 -22.5,-180 -22.5,-180 -45))"
1	5	7	"Polygon((-135 -45,-90 -45,-90 -22.5,-135 -22.5,-135 -45))"
2	5	7	"Polygon((-90 -45,-45 -45,-45 -22.5,-90 -22.5,-90 -45))"
3	5	7	"Polygon((-45 -45,0 -45,0 -22.5,-45 -22.5,-45 -45))"
4	5	7	"Polygon((0 -45,45 -45,45 -22.5,0 -22.5,0 -45))"
5	5	7	"Polygon((45 -45,90 -45,90 -22.5,45 -22.5,45 -45))"
6	5	7	"Polygon((90 -45,135 -45,135 -22.5,90 -22.5,90 -45))"
7	5	7	"Polygon((135 -45,180 -45,180 -22.5,135 -22.5,135 -45))"
0	6	7	"Polygon((-180 -67.5,-135 -67.5,-135 -45,-180 -45,-180 -67.5))"
1	6	7	"Polygon((-135 -67.5,-90 -67.5,-90 -45,-135 -45,-135 -67.5))"
2	6	7	"Polygon((-90 -67.5,-45 -67.5,-45 -45,-90 -45,-90 -67.5))"
3	6	7	"Polygon((-45 -67.5,0 -67.5,0 -45,-45 -45,-45 -67.5))"
4	6	7	"Polygon((0 -67.5,45 -67.5,45 -45,0 -45,0 -67.5))"
5	6	7	"Polygon((45 -67.5,90 -67.5,90 -45,45 -45,45 -67.5))"
6	6	7	"Polygon((90 -67.5,135 -67.5,135 -45,90 -45,90 -67.5))"
7	6	7	"Polygon((135 -67.5,180 -67.5,180 -45,135 -45,135 -67.5))"
0	7	7	"Polygon((-180 -90,-135 -90,-135 -67.5,-180 -67.5,-180 -90))"
1	7	7	"Polygon((-135 -90,-90 -90,-90 -67.5,-135 -67.5,-135 -90))"
2	7	7	"Polygon((-90 -90,-45 -90,-45 -67.5,-90 -67.5,-90 -90))"
3	7	7	"Polygon((-45 -90,0 -90,0 -67.5,-45 -67.5,-45 -90))"
4	7	7	"Polygon((0 -90,45 -90,45 -67.5,0 -67.5,0 -90))"
5	7	7	"Polygon((45 -90,90 -90,90 -67.5,45 -67.5,45 -90))"
6	7	7	"Polygon((90 -90,135 -90,135 -67.5,90 -67.5,90 -90))"
7	7	7	"Polygon((135 -90,180 -90,180 -67.5,135 -67.5,135 -90))"
0	0	8	"Polygon((-180 70,-140 70,-140 90,-180 90,-180 70))"
1	0	8	"Polygon((-140 70,-100 70,-100 90,-140 90,-140 70))"
2	0	8	"Polygon((-100 70,-60 70,-60 90,-100 90,-100 70))"
3	0	8	"Polygon((-60 70,-20 70,-20 90,-60 90,-60 70))"
4	0	8	"Polygon((-20 70,20 70,20 90,-20 90,-20 70))"
5	0	8	"Polygon((20 70,60 70,60 90,20 90,20 70))"
6	0	8	"Polygon((60 70,100 70,100 90,60 90,60 70))"
7	0	8	"Polygon((100 70,140 70,140 90,100 90,100 70))"
8	0	8	"Polygon((140 70,180 70,180 90,140 90,140 70))"
0	1	8	"Polygon((-180 50,-140 50,-140 70,-180 70,-180 50))"
1	1	8	"Polygon((-140 50,-100 50,-100 70,-140 70,-140 50))"
2	1	8	"Polygon((-100 50,-60 50,-60 70,-100 70,-100 50))"
3	1	8	"Polygon((-60 50,-20 50,-20 70,-60 70,-60 50))"
4	1	8	"Polygon((-20 50,20 50,20 70,-20 70,-20 50))"
5	1	8	"Polygon((20 50,60 50,60 70,20 70,20 50))"
6	1	8	"Polygon((60 50,100 50,100 70,60 70,60 50))"
7	1	8	"Polygon((100 50,140 50,140 70,100 70,100 50))"
8	1	8	"Polygon((140 50,180 50,180 70,140 70,140 50))"
0	2	8	"Polygon((-180 30,-140 30,-140 50,-180 50,-180 30))"
1	2	8	"Polygon((-140 30,-100 30,-100 50,-140 50,-140 30))"
2	2	8	"Polygon((-100 30,-60 30,-60 50,-100 50,-100 30))"
3	2	8	"Polygon((-60 30,-20 30,-20 50,-60 50,-60 30))"
4	2	8	"Polygon((-20 30,20 30,20 50,-20 50,-20 30))"
5	2	8	"Polygon((20 30,60 30,60 50,20 50,20 30))"
6	2	8	"Polygon((60 30,100 30,100 50,60 50,60 30))"
7	2	8	"Polygon((100 30,140 30,140 50,100 50,100 30))"
8	2	8	"Polygon((140 30,180 30,180 50,140 50,140 30))"
0	3	8	"Polygon((-180 10,-140 10,-140 30,-180 30,-180 10))"
1	3	8	"Polygon((-140 10,-100 10,-100 30,-140 30,-140 10))"
2	3	8	"Polygon((-100 10,-60 10,-60 30,-100 30,-100 10))"
3	3	8	"Polygon((-60 10,-20 10,-20 30,-60 30,-60 10))"
4	3	8	"Polygon((-20 10,20 10,20 30,-20 30,-20 10))"
5	3	8	"Polygon((20 10,60 10,60 30,20 30,20 10))"
6	3	8	"Polygon((60 10,100 10,100 30,60 30,60 10))"
7	3	8	"Polygon((100 10,140 10,140 30,100 30,100 10))"
8	3	8	"Polygon((140 10,180 10,180 30,140 30,140 10))"
0	4	8	"Polygon((-180 -10,-140 -10,-140 10,-180 10,-180 -10))"
1	4	8	"Polygon((-140 -10,-100 -10,-100 10,-140 10,-140 -10))"
2	4	8	"Polygon((-100 -10,-60 -10,-60 10,-100 10,-100 -10))"
3	4	8	"Polygon((-60 -10,-20 -10,-20 10,-60 10,-60 -10))"
4	4	8	"Polygon((-20 -10,20 -10,20 10,-20 10,-20 -10))"
5	4	8	"Polygon((20 -10,60 -10,60 10,20 10,20 -10))"
6	4	8	"Polygon((60 -10,100 -10,100 10,60 10,60 -10))"
7	4	8	"Polygon((100 -10,140 -10,140 10,100 10,100 -10))"
8	4	8	"Polygon((140 -10,180 -10,180 10,140 10,140 -10))"
0	5	8	"Polygon((-180 -30,-140 -30,-140 -10,-180 -10,-180 -30))"
1	5	8	"Polygon((-140 -30,-100 -30,-100 -10,-140 -10,-140 -30))"
2	5	8	"Polygon((-100 -30,-60 -30,-60 -10,-100 -10,-100 -30))"
3	5	8	"Polygon((-60 -30,-20 -30,-20 -10,-60 -10,-60 -30))"
4	5	8	"Polygon((-20 -30,20 -30,20 -10,-20 -10,-20 -30))"
5	5	8	"Polygon((20 -30,60 -30,60 -10,20 -10,20 -30))"
6	5	8	"Polygon((60 -30,100 -30,100 -10,60 -10,60 -30))"
7	5	8	"Polygon((100 -30,140 -30,140 -10,100 -10,100 -30))"
8	5	8	"Polygon((140 -30,180 -30,180 -10,140 -10,140 -30))"
0	6	8	"Polygon((-180 -50,-140 -50,-140 -30,-180 -30,-180 -50))"
1	6	8	"Polygon((-140 -50,-100 -50,-100 -30,-140 -30,-140 -50))"
2	6	8	"Polygon((-100 -50,-60 -50,-60 -30,-100 -30,-100 -50))"
3	6	8	"Polygon((-60 -50,-20 -50,-20 -30,-60 -30,-60 -50))"
4	6	8	"Polygon((-20 -50,20 -50,20 -30,-20 -30,-20 -50))"
5	6	8	"Polygon((20 -50,60 -50,60 -30,20 -30,20 -50))"
6	6	8	"Polygon((60 -50,100 -50,100 -30,60 -30,60 -50))"
7	6	8	"Polygon((100 -50,140 -50,140 -30,100 -30,100 -50))"
8	6	8	"Polygon((140 -50,180 -50,180 -30,140 -30,140 -50))"
0	7	8	"Polygon((-180 -70,-140 -70,-140 -50,-180 -50,-180 -70))"
1	7	8	"Polygon((-140 -70,-100 -70,-100 -50,-140 -50,-140 -70))"
2	7	8	"Polygon((-100 -70,-60 -70,-60 -50,-100 -50,-100 -70))"
3	7	8	"Polygon((-60 -70,-20 -70,-20 -50,-60 -50,-60 -70))"
4	7	8	"Polygon((-20 -70,20 -70,20 -50,-20 -50,-20 -70))"
5	7	8	"Polygon((20 -70,60 -70,60 -50,20 -50,20 -70))"
6	7	8	"Polygon((60 -70,100 -70,100 -50,60 -50,60 -70))"
7	7	8	"Polygon((100 -70,140 -70,140 -50,100 -50,100 -70))"
8	7	8	"Polygon((140 -70,180 -70,180 -50,140 -50,140 -70))"
0	8	8	"Polygon((-180 -90,-140 -90,-140 -70,-180 -70,-180 -90))"
1	8	8	"Polygon((-140 -90,-100 -90,-100 -70,-140 -70,-140 -90))"
2	8	8	"Polygon((-100 -90,-60 -90,-60 -70,-100 -70,-100 -90))"
3	8	8	"Polygon((-60 -90,-20 -90,-20 -70,-60 -70,-60 -90))"
4	8	8	"Polygon((-20 -90,20 -90,20 -70,-20 -70,-20 -90))"
5	8	8	"Polygon((20 -90,60 -90,60 -70,20 -70,20 -90))"
6	8	8	"Polygon((60 -90,100 -90,100 -70,60 -70,60 -90))"
7	8	8	"Polygon((100 -90,140 -90,140 -70,100 -70,100 -90))"
8	8	8	"Polygon((140 -90,180 -90,180 -70,140 -70,140 -90))"
0	0	9	"Polygon((-180 72,-144 72,-144 90,-180 90,-180 72))"
1	0	9	"Polygon((-144 72,-108 72,-108 90,-144 90,-144 72))"
2	0	9	"Polygon((-108 72,-72 72,-72 90,-108 90,-108 72))"
